last_nm,first_nm,middle_nm,obsrvd_behavior,cadet_company,year
Smith,John,Robert,"CDT Cammack E1 2024 was late to class.  This is the 4th time this semester.  He will be given 5 hours as punishment.  Andrew is an ok cadet overall, but is disorganized.  Anrew Camick needs additional counseling a4,e3,i2,e1",A1,2015
Cammack,Andrew,Marshall,"john smith John Smith Jon jon smit SMITH JON JOHN CDT Smith CDT John Smith E3,I2,H2,i1, 2024,2023 JohnSmithAndrewCAMMACK",B1,2016
,,,Regular Articles,C1,2017
,,,Gender differences in support for direct and,D1,2018
,,,indirect political aggression in the context,E1,2019
,,,of protracted conflict,F1,2020
,,,Lihi Ben Shitrit,G1,2021
,,,"School of Public and International Affairs, University of Georgia",H1,2022
,,,Julia Elad-Strenger,I1,2023
,,,"Baruch Ivcher School of Psychology, Interdisciplinary Center (IDC) Herzliya",A2,2024
,,,Sivan Hirsch-Hoefler,B2,2025
,,,"Lauder School of Government, Diplomacy and Strategy, Interdisciplinary Center (IDC) Herzliya",C2,
,,,Abstract,D2,
,,,The relationship between gender and political aggression is hotly debated and the empirical evidence is often mixed.,E2,
,,,"While many surveys find a gender gap, with women less supportive of politically motivated aggression and violence",F2,
,,,"than men, numerous case studies point to women’s active involvement in political violence and refute the association",G2,
,,,of women with peacefulness. This article argues that the gender–aggression relation depends upon (1) the type of,H2,
,,,"political aggression under study (i.e. direct vs. indirect political aggression), and (2) contextual factors, notably the",I2,
,,,"salience of a protracted conflict. Using original datasets representing Israeli Jews (N ¼ 3,126) we found that in the",A3,
,,,"context of protracted conflict, gender has a unique effect on support for indirect forms of political aggression, over",B3,
,,,"and above other central predictors of political aggression (i.e. political orientation and threat perceptions), such that",C3,
,,,women are actually more supportive of politically motivated social distancing and exclusion of out-groups in conflict,D3,
,,,"as compared to men. Women and men, however, do not differ in their support for direct, politically motivated,",E3,
,,,violent acts against government officials. Results also shed light on potential mechanisms underlying these differences,F3,
,,,"(and lack thereof), in the context of protracted conflict. The findings cast further doubt on the stereotype of ‘peaceful",G3,
,,,women’ and point to the need for policymakers concerned with conflict resolution to address context-related factors,H3,
,,,when considering the gender-based differences in political aggression.,I3,
,,,Keywords,A4,
,,,"exclusion, gender, group-based emotions, Israeli-Palestinian conflict, political aggression, social distancing, threat",B4,
,,,perception,C4,
,,,"Women’s roles in political aggression and violence have,",D4,
,,,"since the time of Lysistrata by Aristophanes, been characterized",E4,
,,,"as peace-seeking, while men are often seen as",F4,
,,,"war-mongering. Indeed, politically motivated aggressive",G4,
,,,acts by women are often seen as an aberration and somehow,H4,
,,,"more troubling and unexpected (Alison, 2004;",I4,
,,,"Brown, 2011; Sjoberg & Gentry, 2007). However,",,
,,,growing popular and scholarly attention to women’s,,
,,,active involvement in various forms of violent conflict,,
,,,has sparked a debate about the presence and magnitude,,
,,,Corresponding author:,,
,,,hsivan@idc.ac.il,,
,,,Journal of Peace Research,,
,,,"2017, Vol. 54(6) 733–747",,
,,,ª The Author(s) 2017,,
,,,Reprints and permission:,,
,,,sagepub.co.uk/journalsPermissions.nav,,
,,,DOI: 10.1177/0022343317714301,,
,,,journals.sagepub.com/home/jpr,,
,,,of gender differences1 in support for political aggression,,
,,,and violence.2,,
,,,Many new studies examining women’s role as agents,,
,,,of political violence have helped dispel the earlier essentialist,,
,,,assumption about women’s status as either passive,,
,,,victims or peace-promoters in contexts of,,
,,,intranational and international conflict. They show,,
,,,instead that women participate in various ways in political,,
,,,"violence (for just a few examples: Alison, 2007;",,
,,,"Eager, 2008; McDermott, 2015; Bloom, 2012;",,
,,,"Parashar, 2014; Sjoberg & Gentry, 2007; Cunningham,",,
,,,"2003; Gonzalez-Perez, 2008; Henshaw, 2016; Gentry,",,
,,,"2012; Thomas&Bond, 2015). Indeed, women also often",,
,,,create and maintain the social and economic networks,,
,,,"that facilitate and support political violence (Aolain,",,
,,,"Haynes & Cahn, 2011; Cragin & Daly, 2009; McEvoy,",,
,,,"2009; Parkinson, 2013).",,
,,,"Yet, there is also an extensive empirical literature that",,
,,,argues that both in active participation in political violence,,
,,,and in support for the use of force in domestic and,,
,,,"foreign policy, there exists a gender gap. Men are more",,
,,,"involved, numerically, than women as participants in",,
,,,"political violence, and women tend to be less supportive",,
,,,"of policies advocating the use of violence (Pratto,",,
,,,"Stallworth & Sidanius, 1997; Wilcox, Hewitt & Allsop,",,
,,,"1996). Further, studies addressing aggression in general",,
,,,(not only in the political realm) have shown that men,,
,,,"and women express aggression differently, such that men",,
